provider_id,npi,name,specialty,street,city,state,zip,phone
PRV00001,5566009041,Jean Lawson,Pediatrics,141 Hodges Mountains,Kramerville,NM,04216,001-507-843-9150x00806
PRV00002,7225516707,Thomas Nielsen,Internal Medicine,377 Michael Springs,Port Steve,LA,03317,624-615-8683
PRV00003,1901749037,Jennifer Burns,Gastroenterology,690 Sanchez Union Suite 625,Christopherhaven,CT,21957,4705499962
PRV00004,8884551090,Monica Reyes,Psychiatry,88368 Farley Ports,Stephenview,TN,72327,001-882-988-3607x5983
PRV00005,4294916953,Tony Jones,OB/GYN,5088 Ellis Burgs Apt. 289,Port Christopher,OH,33962,7706434192
PRV00006,7207890733,Robert Green,Urology,24824 Gibson Islands,Wellstown,ME,51167,983-896-0306x202
PRV00007,4443818037,Walter Hutchinson,Urology,873 Ralph Ports,Donnachester,AR,97160,511-944-2694x2080
PRV00008,5059906722,Brian Wade,Endocrinology,980 Gonzalez Courts,New Emily,NE,78018,487-705-9640x2359
PRV00009,1131383004,Gary Hunter,Orthopedics,41685 Tate Place Apt. 101,East Garrett,ND,28415,355-751-4397x298
PRV00010,9079837913,Derek Macdonald,Family Medicine,1622 Wilson Radial,Jonesside,IN,74683,001-281-374-1040
PRV00011,9714663815,Michelle Edwards,Gastroenterology,03396 Darrell Expressway Apt. 216,Drakeside,PW,39039,850.700.4957
PRV00012,8575038095,Ann Mullins,Cardiology,15971 Lewis River Suite 542,West James,MN,11166,795-636-4052
PRV00013,3374513802,Alison Smith,Psychiatry,1899 John Brooks,South Charles,OH,09796,001-757-672-1851x82222
PRV00014,5387264885,Mrs. Elizabeth Medina,Orthopedics,894 Patricia Divide,Port Leslieside,MP,98304,9349176848
PRV00015,1429497919,David Calderon,Oncology,5247 Laura Mall,North Heathershire,DC,78298,(996)529-1370x2858
PRV00016,8988409533,Maria Wood,Gastroenterology,7736 Castro Stream,Teresabury,AR,09879,834.444.8527x91198
PRV00017,8486757898,Kelly Davis MD,Internal Medicine,6390 Maldonado Stravenue,Patrickburgh,ND,96169,841-829-1736
PRV00018,9449103790,Justin Moyer,Urology,7297 David Rapid,Blankenshipport,KY,33035,679.600.9343x24283
PRV00019,3878940490,Paul Gardner,Oncology,728 Henry Walks Apt. 396,West Lisa,MH,03666,+1-921-985-9468x58501
PRV00020,4664843848,Kelly Pineda,Dermatology,8659 Wilson Lane Suite 380,Cynthiahaven,ID,61001,001-842-879-8358x069
PRV00021,8719792472,Lisa Bailey,Psychiatry,917 Danielle Run Suite 062,Pattonburgh,WI,10123,668-342-7472x780
PRV00022,3855051695,Ronald Mills,OB/GYN,51702 Hannah Locks Suite 943,East Norma,KY,09486,(878)880-2484x593
PRV00023,2609337231,Timothy Fitzpatrick,Orthopedics,4953 Stuart Squares,Port Donna,PR,82087,643.912.9792
PRV00024,8902531710,Brett Lopez Jr.,Psychiatry,27546 Darrell Ford,Carlosbury,MO,42623,+1-403-307-8975x419
PRV00025,5421990790,David Crawford,Orthopedics,3776 Teresa Freeway,Stevenshire,MS,28276,631-500-0756
PRV00026,7778213901,Donald Wilson,Family Medicine,20062 Annette Glens Apt. 174,North Amandahaven,MP,17399,730-672-4376
PRV00027,1731644238,Derek Bishop,Gastroenterology,330 Michael Rapids Apt. 586,Lake Nicole,NE,87321,001-714-321-2036x00187
PRV00028,3355095800,Amy Green,Oncology,28072 Hines Mission Apt. 841,Laurenland,ME,04982,001-724-861-4163x8835
PRV00029,7501599785,Austin Turner,OB/GYN,27889 Penny Village Suite 235,Meyerville,MT,45770,+1-385-464-5545x8808
PRV00030,6812268282,Samuel King II,Endocrinology,559 Shannon Harbors Suite 756,New Laurieberg,AR,69144,001-455-256-4795
PRV00031,4132749951,Christine Jones,Dermatology,3921 Katie Stream,Port Coryside,TX,35330,001-781-913-2860
PRV00032,4475229416,Katelyn Powell,OB/GYN,39736 Lowe Plains Apt. 714,Harrisside,WI,50402,799.660.5703x40814
PRV00033,6177519760,Amanda Fisher,Oncology,869 Chavez Curve Suite 928,West Dana,NE,96987,901-310-6474x5756
PRV00034,3381134998,Jessica Waters,Family Medicine,2620 Lisa Land Apt. 946,Sheilaport,WA,55650,637.466.1123x2301
PRV00035,7070506973,John Mcguire,Oncology,62016 Andrea Place Suite 501,Conleyville,KS,90226,8313617487
PRV00036,7074907055,Mary Frost DVM,Orthopedics,26932 Butler Plain Suite 783,Michelleville,AL,99824,408-474-1384x436
PRV00037,7925430606,Christopher Blake,Family Medicine,68908 Sonya Groves Suite 744,Lewisstad,PA,62176,001-997-982-0858x2359
PRV00038,3576358404,Samantha Robinson,Psychiatry,22431 Anna Spur Apt. 393,Roberttown,WI,03129,001-334-654-9860x1552
PRV00039,3510240337,Blake Frost,Neurology,905 Christopher Cove,Loganview,NC,07023,(631)854-0851x529
PRV00040,2096479553,Amy Romero,Internal Medicine,998 Elliott Plain,Turnerbury,SC,40172,(633)664-8048
PRV00041,1302595366,Samantha Webb,Gastroenterology,61518 Gardner Vista Apt. 947,East Charles,OR,19103,001-255-242-2676x19244
PRV00042,2945614990,Brett Maxwell,Family Medicine,8170 George Manors,Sarahchester,MO,79901,+1-900-519-2885x8495
PRV00043,8540187780,Ian Molina,Neurology,85210 Henderson Stream,Jonton,RI,57500,373-298-2051x82875
PRV00044,2153807478,Bryan Freeman,Cardiology,62631 Matthew Isle Apt. 775,Curtisborough,NE,58251,622-406-6101x276
PRV00045,3683504527,Vickie Solomon,Neurology,140 Sanders Roads,New Heather,AL,71820,+1-825-531-8822x69083
PRV00046,2246761692,Margaret Mendoza,Orthopedics,389 John Tunnel,Wilsonton,MS,12256,930.804.7462x92858
PRV00047,5980553707,Lisa Simon,Pediatrics,663 Montoya Lake,West Ashley,PR,23459,524-544-5649x70224
PRV00048,5088626994,Timothy Hernandez,Oncology,893 Moran Garden,New Steven,VT,26169,+1-800-466-6299x28813
PRV00049,8351222782,Lisa Fischer,Gastroenterology,65234 Michael Plain Suite 184,Lake Steven,LA,82037,590-805-2211x693
PRV00050,8312721060,Ms. Mary Gardner,Psychiatry,368 Lisa Prairie,Jessicaville,AS,26917,840.828.8364
PRV00051,3034831019,Sarah Bass,Psychiatry,1228 Shawn Cape Suite 368,Rebeccaville,CA,89383,529.583.8685
PRV00052,6635018266,Rebecca Wilkinson DDS,Family Medicine,915 Stephen Village Apt. 247,New Waltershire,MO,12557,(645)370-8706x4952
PRV00053,6102589964,Kari Walters,Orthopedics,6809 Benjamin Pines Apt. 155,Karenton,SC,49018,+1-575-488-0255
PRV00054,5195058968,Danielle Tyler,Internal Medicine,165 Underwood Junctions,Chelseaton,VT,08819,001-668-549-9112x46124
PRV00055,5189970085,Jeremy Cox,Endocrinology,47084 Lynn Club,Matthewport,VI,68156,001-500-356-2809x8623
PRV00056,5371694837,Timothy Reid,Cardiology,814 Gonzalez Centers,Suzannemouth,RI,95296,3704248003
PRV00057,9741658811,Michael Phillips,Pediatrics,337 Sanchez Parkways,Markland,ID,78399,001-869-775-0701
PRV00058,4574464663,Jennifer Fernandez,Pediatrics,63879 Greene Streets Suite 972,Emmahaven,ME,74353,940-790-7753x873
PRV00059,7513745319,Rachel Berg,Gastroenterology,6015 Jonathan Plains,West Nicholasmouth,MA,40979,715.511.2469
PRV00060,5426823972,Jennifer Hall,Cardiology,289 Turner Lane,Homouth,AS,10227,4936336639
PRV00061,8004867726,Ryan Goodwin,Gastroenterology,47722 Victoria Mews Suite 875,New Debbieside,TN,36692,+1-471-483-9465x3019
PRV00062,8462296296,Kevin Boyd,Family Medicine,13006 Carl Branch Apt. 855,New Alanborough,NJ,26729,723.760.3870
PRV00063,5157113076,Dustin Cooper,Pediatrics,09281 Jeffery Fall Suite 105,North Marissa,FL,30770,001-217-333-2103
PRV00064,2315920532,Phillip Nielsen,Family Medicine,344 Pitts Stravenue,Lake Johnathanborough,MD,46366,+1-366-816-3752x913
PRV00065,9329180414,Joshua Acosta,Internal Medicine,455 Bryant Knoll Suite 678,West Davidburgh,ME,74794,(772)722-1943
