member_id,first_name,last_name,dob,gender,email,phone,street,city,state,zip,fpl_ratio,hios_id,plan_network_access_type,plan_metal,age_group,region,enrollment_length_continuous,clinical_segment,general_agency_name,broker_name,sa_contracting_entity_name,call_count,app_login_count,web_login_count,new_member_in_period,member_used_app,member_had_web_login,member_visited_new_provider_ind,high_cost_member,mutually_exclusive_hcc_condition,geographic_reporting,wisconsin_area_deprivation_index,ra_mm,year
MBR2022000001,Caitlin,Garcia,2011-08-24,F,jeremyblevins@example.com,2678782782,7360 Medina Ridges,East Danielle,AS,29632,3.61,6003495366,EPO,Silver,<18,West,2,Complex,Care Partners,Prime Advisors,Strategic Alliance C,1,3,1,0,1,1,0,0,,West,3,0.3,2022
MBR2022000002,Anthony,Landry,1960-08-11,M,christopher43@example.org,985-333-2454x01540,06416 Jessica Dam Apt. 832,East Robertberg,GU,34907,2.47,1398089765,HMO,Platinum,55-64,West,5,Behavioral,Premier Agency,Value Health Brokers,,0,0,0,0,0,0,0,0,CKD,West,3,0.685,2022
MBR2022000003,Jenny,Walker,2025-11-01,M,jcantrell@example.net,001-780-430-9850,3254 Moore Viaduct Apt. 897,Haroldville,WV,52839,3.17,7211693999,PPO,Gold,<18,South,10,Chronic,Wellness Group,,Strategic Alliance C,3,0,0,1,0,0,1,0,COPD,South,5,1.342,2022
MBR2022000004,Abigail,Hodge,1955-06-25,M,aaron25@example.com,(895)391-2385x92775,0528 Jeffrey Vista Apt. 915,East Joseph,NY,64538,3.99,6438648555,HMO,Platinum,65+,Northeast,6,Maternity,,HealthLink Brokers,Strategic Alliance B,0,2,4,0,1,1,1,0,,Northeast,2,0.72,2022
MBR2022000005,Sandra,Mcintosh,1975-02-28,F,stanleyholland@example.com,(411)709-1853x8377,800 Bennett Fields Suite 201,Lake Amandafort,WV,87744,0.58,9278595332,EPO,Platinum,45-54,South,12,Chronic,Wellness Group,HealthLink Brokers,Strategic Alliance C,4,0,0,1,0,0,1,0,,South,4,1.4,2022
MBR2022000006,Carlos,Graham,2014-09-12,M,lperez@example.net,604-604-1375,31526 Williams Club Apt. 142,Lake Antonioton,ID,45794,1.9,4492595926,HMO,Platinum,<18,West,1,Maternity,Premier Agency,Acme Brokerage,Strategic Alliance A,1,5,0,1,1,0,1,0,CHF,West,9,0.115,2022
MBR2022000007,Mary,Morgan,1998-07-19,M,curtisprince@example.org,001-605-336-1650,894 Elizabeth Island Suite 190,North Christian,MO,59211,3.81,6197693091,HMO,Platinum,18-25,Midwest,9,Maternity,Wellness Group,,Strategic Alliance B,5,5,1,1,1,1,0,0,CKD,Midwest,9,1.035,2022
MBR2022000008,Cindy,Cowan,1952-10-05,F,joshua57@example.org,001-315-975-4924x061,4692 Lisa Ports,New Michaelland,NV,24320,1.11,6602334115,HMO,Silver,65+,West,12,Complex,,,Strategic Alliance A,0,3,0,0,1,0,1,0,Diabetes,West,8,2.484,2022
MBR2022000009,Victoria,Rowe,2016-10-14,M,annbarnes@example.org,(920)353-5759,48487 Jonathan Mountains Apt. 228,West Darlene,DC,09027,2.31,5089557745,HMO,Bronze,<18,South,3,Complex,Care Partners,,Strategic Alliance C,2,1,10,1,1,1,0,0,,South,7,0.45,2022
MBR2022000010,Tiffany,Andrade,1987-12-03,F,amy04@example.org,736-596-6353x101,71949 Rebecca Circle,Andreafurt,CT,54417,2.23,2985536582,PPO,Gold,35-44,Northeast,3,Complex,Wellness Group,,Strategic Alliance C,0,0,0,1,0,0,1,0,Asthma,Northeast,1,0.517,2022
